log_basic.py-51-2022-07-05 10:16:30,504-INFO-自定义的info日志
log_basic.py-52-2022-07-05 10:16:30,506-WARNING-自定义的warning日志
log_basic.py-53-2022-07-05 10:16:30,506-ERROR-自定义的error日志
log_basic.py-54-2022-07-05 10:16:30,506-CRITICAL-自定义的critical日志
log_basic.py-50-2022-07-05 10:18:45,889-DEBUG-自定义的debug日志
log_basic.py-51-2022-07-05 10:18:45,889-INFO-自定义的info日志
log_basic.py-52-2022-07-05 10:18:45,889-WARNING-自定义的warning日志
log_basic.py-53-2022-07-05 10:18:45,889-ERROR-自定义的error日志
log_basic.py-54-2022-07-05 10:18:45,889-CRITICAL-自定义的critical日志
log_basic.py-55-2022-07-05 10:23:52,767-DEBUG-自定义的debug日志
log_basic.py-56-2022-07-05 10:23:52,767-INFO-自定义的info日志
log_basic.py-57-2022-07-05 10:23:52,768-WARNING-自定义的warning日志
log_basic.py-58-2022-07-05 10:23:52,768-ERROR-自定义的error日志
log_basic.py-59-2022-07-05 10:23:52,768-CRITICAL-自定义的critical日志
log_basic.py-57-2022-07-05 10:25:31,639-DEBUG-自定义的debug日志
log_basic.py-58-2022-07-05 10:25:31,639-INFO-自定义的info日志
log_basic.py-59-2022-07-05 10:25:31,639-WARNING-自定义的warning日志
log_basic.py-60-2022-07-05 10:25:31,639-ERROR-自定义的error日志
log_basic.py-61-2022-07-05 10:25:31,639-CRITICAL-自定义的critical日志
log_basic.py-57-2022-07-05 10:26:25,972-DEBUG-自定义的debug日志
log_basic.py-58-2022-07-05 10:26:25,973-INFO-自定义的info日志
log_basic.py-59-2022-07-05 10:26:25,973-WARNING-自定义的warning日志
log_basic.py-60-2022-07-05 10:26:25,973-ERROR-自定义的error日志
log_basic.py-61-2022-07-05 10:26:25,973-CRITICAL-自定义的critical日志
test_log_demo.py-15-2022-07-05 11:33:02,349-INFO-************
